rank,name,pob,stable,birthdate,height,weight,year,month
Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,193,150.7,2020,01
Y1w,Kakuryu,Mongolia,Michinoku,10.08.1985,186,150,2020,01
O1e,Takakeisho,Hyogo,Chiganoura,05.08.1996,173,149,2020,01
O1w,Goeido,Osaka,Sakaigawa,06.04.1986,183,158.2,2020,01
S1e,Asanoyama,Toyama,Takasago,01.03.1994,189,158,2020,01
S1w,Takayasu,Ibaraki,Tagonoura,28.02.1990,187,163,2020,01
K1e,Abi,Saitama,Shikoroyama,04.05.1994,185,121,2020,01
K1w,Daieisho,Saitama,Oitekaze,10.11.1993,179,135.7,2020,01
M1e,Endo,Ishikawa,Oitekaze,19.10.1990,183,145.6,2020,01
M1w,Myogiryu,Hyogo,Sakaigawa,22.10.1986,187,148,2020,01
M2e,Hokutofuji,Saitama,Hakkaku,15.07.1992,182,158,2020,01
M2w,Mitakeumi,Nagano,Dewanoumi,25.12.1992,179,149,2020,01
M3e,Tamawashi,Mongolia,Kataonami,16.11.1984,190,161,2020,01
M3w,Kotoyuki,Kagawa,Sadogatake,02.04.1991,176,162.4,2020,01
M4e,Okinoumi,Shimane,Hakkaku,29.07.1985,190,154,2020,01
M4w,Shodai,Kumamoto,Tokitsukaze,05.11.1991,182,150,2020,01
M5e,Meisei,Kagoshima,Tatsunami,24.07.1995,180,120,2020,01
M5w,Enho,Ishikawa,Miyagino,18.10.1994,169,95,2020,01
M6e,Takarafuji,Aomori,Isegahama,18.02.1987,186,161.1,2020,01
M6w,Tochinoshin,Georgia,Kasugano,13.10.1987,192,162,2020,01
M7e,Shohozan,Fukuoka,Nishonoseki,09.02.1984,177,134.5,2020,01
M7w,Onosho,Aomori,Onomatsu,04.07.1996,176,148.5,2020,01
M8e,Aoiyama,Bulgaria,Kasugano,19.06.1986,192,192.6,2020,01
M8w,Ryuden,Yamanashi,Takadagawa,10.11.1990,192,145,2020,01
M9e,Takanosho,Chiba,Chiganoura,14.11.1994,181.5,128.5,2020,01
M9w,Yutakayama,Niigata,Tokitsukaze,22.09.1993,185,171,2020,01
M10e,Sadanoumi,Kumamoto,Sakaigawa,11.05.1987,184,131.2,2020,01
M10w,Ishiura,Tottori,Miyagino,10.01.1990,173,103.6,2020,01
M11e,Chiyotairyu,Tokyo,Kokonoe,14.11.1988,182,166.8,2020,01
M11w,Kagayaki,Ishikawa,Takadagawa,01.06.1994,193,144.3,2020,01
M12e,Tsurugisho,Tokyo,Oitekaze,27.07.1991,184,154,2020,01
M12w,Chiyomaru,Kagoshima,Kokonoe,17.04.1991,178,176.3,2020,01
M13e,Kotoshogiku,Fukuoka,Sadogatake,30.01.1984,180,177,2020,01
