,rank,name,pob,stable,birthdate,height,weight,year,month
0,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,193,150.7,2021,01
1,Y1w,Kakuryu,Mongolia,Michinoku,10.08.1985,186,150,2021,01
2,O1e,Takakeisho,Hyogo,Tokiwayama,05.08.1996,173,149,2021,01
3,O1w,Shodai,Kumamoto,Tokitsukaze,05.11.1991,182,150,2021,01
4,O2e,Asanoyama,Toyama,Takasago,01.03.1994,189,158,2021,01
5,S1e,Terunofuji,Mongolia,Isegahama,29.11.1991,192,158.5,2021,01
6,S1w,Takanosho,Chiba,Tokiwayama,14.11.1994,181.5,128.5,2021,01
7,K1e,Takayasu,Ibaraki,Tagonoura,28.02.1990,187,163,2021,01
8,K1w,Mitakeumi,Nagano,Dewanoumi,25.12.1992,179,149,2021,01
9,M1e,Hokutofuji,Saitama,Hakkaku,15.07.1992,182,158,2021,01
10,M1w,Daieisho,Saitama,Oitekaze,10.11.1993,179,135.7,2021,01
11,M2e,Takarafuji,Aomori,Isegahama,18.02.1987,186,161.1,2021,01
12,M2w,Wakatakakage,Fukushima,Arashio,06.12.1994,180,115,2021,01
13,M3e,Kotoshoho,Chiba,Sadogatake,26.08.1999,188,144,2021,01
14,M3w,Onosho,Aomori,Onomatsu,04.07.1996,176,148.5,2021,01
15,M4e,Tochinoshin,Georgia,Kasugano,13.10.1987,192,162,2021,01
16,M4w,Tamawashi,Mongolia,Kataonami,16.11.1984,190,161,2021,01
17,M5e,Endo,Ishikawa,Oitekaze,19.10.1990,183,145.6,2021,01
18,M5w,Okinoumi,Shimane,Hakkaku,29.07.1985,190,154,2021,01
19,M6e,Ryuden,Yamanashi,Takadagawa,10.11.1990,192,145,2021,01
20,M6w,Kagayaki,Ishikawa,Takadagawa,01.06.1994,193,144.3,2021,01
21,M7e,Meisei,Kagoshima,Tatsunami,24.07.1995,180,120,2021,01
22,M7w,Tobizaru,Tokyo,Oitekaze,24.04.1992,174,110,2021,01
23,M8e,Tokushoryu,Nara,Kise,22.08.1986,182,170.6,2021,01
24,M8w,Kiribayama,Mongolia,Michinoku,24.04.1996,184,94,2021,01
25,M9e,Chiyonokuni,Mie,Kokonoe,10.07.1990,184,143.8,2021,01
26,M9w,Myogiryu,Hyogo,Sakaigawa,22.10.1986,187,148,2021,01
27,M10e,Shimanoumi,Mie,Kise,11.07.1989,178,160.8,2021,01
28,M10w,Aoiyama,Bulgaria,Kasugano,19.06.1986,192,192.6,2021,01
29,M11e,Chiyotairyu,Tokyo,Kokonoe,14.11.1988,182,166.8,2021,01
30,M11w,Kotoeko,Miyazaki,Sadogatake,20.11.1991,175.5,111.6,2021,01
31,M12e,Ichinojo,Mongolia,Minato,07.04.1993,190,183,2021,01
32,M12w,Terutsuyoshi,Hyogo,Isegahama,17.01.1995,169,112,2021,01
33,M13e,Akua,Ibaraki,Tatsunami,06.11.1990,181,162.6,2021,01
34,M13w,Chiyoshoma,Mongolia,Kokonoe,20.07.1991,183,118.2,2021,01
35,M14e,Hoshoryu,Mongolia,Tatsunami,22.05.1999,185,107,2021,01
36,M14w,Midorifuji,Shizuoka,Isegahama,30.08.1996,168,91,2021,01
37,M15e,Yutakayama,Niigata,Tokitsukaze,22.09.1993,185,171,2021,01
38,M15w,Kotonowaka,Chiba,Sadogatake,19.11.1997,186,147,2021,01
39,M16e,Kaisei,Brazil,Tomozuna,18.12.1986,195,187.8,2021,01
40,M16w,Akiseyama,Aichi,Kise,18.07.1985,183,172.6,2021,01
41,M17e,Sadanoumi,Kumamoto,Sakaigawa,11.05.1987,184,131.2,2021,01
42,J1e,Ishiura,Tottori,Miyagino,10.01.1990,173,103.6,2021,01
43,J1w,Daiamami,Kagoshima,Oitekaze,15.12.1992,185,167,2021,01
44,J2e,Chiyomaru,Kagoshima,Kokonoe,17.04.1991,178,176.3,2021,01
45,J2w,Chiyonoo,Kagoshima,Kokonoe,29.05.1991,178,149.6,2021,01
46,J3e,Enho,Ishikawa,Miyagino,18.10.1994,169,95,2021,01
47,J3w,Churanoumi,Okinawa,Kise,06.05.1993,176,126,2021,01
48,J4e,Shohozan,Fukuoka,Nishonoseki,09.02.1984,177,134.5,2021,01
49,J4w,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6,2021,01
50,J5e,Wakamotoharu,Fukushima,Arashio,05.10.1993,185,127.2,2021,01
51,J5w,Chiyootori,Kagoshima,Kokonoe,11.10.1992,179,178.5,2021,01
52,J6e,Azumaryu,Mongolia,Tamanoi,12.05.1987,192,147.2,2021,01
53,J6w,Hidenoumi,Tokyo,Kise,11.06.1989,184,156.2,2021,01
