Result,East,Rank,West,Result.1,year,month
1-3-11,Hakuho,Y,Kakuryu,1-4-10,2020,01
11-4,Takakeisho,O,Goeido,5-10,2020,01
10-5,Asanoyama,S,Takayasu,6-9 ↓,2020,01
5-10 ↓,Abi,K,Daieisho,7-8 ↓,2020,01
9-6 S ↑,Endo,M1,Myogiryu,5-10,2020,01
11-4 G ↑,Hokutofuji,M2,Mitakeumi,7-8,2020,01
5-10,Tamawashi,M3,Kotoyuki,0-0-15 ↓,2020,01
8-7,Okinoumi,M4,Shodai,13-2 JK ↑,2020,01
1-7-7,Meisei,M5,Enho,8-7,2020,01
7-8,Takarafuji,M6,Tochinoshin,5-10,2020,01
7-8,Shohozan,M7,Onosho,9-6,2020,01
4-11,Aoiyama,M8,Ryuden,10-5,2020,01
7-8,Takanosho,M9,Yutakayama,11-4,2020,01
7-8,Sadanoumi,M10,Ishiura,6-9,2020,01
7-8,Chiyotairyu,M11,Kagayaki,10-5,2020,01
6-9,Tsurugisho,M12,Chiyomaru,6-9,2020,01
7-8,Kotoshogiku,M13,Kotoeko,2-13 ↓,2020,01
8-7,Terutsuyoshi,M14,Shimanoumi,6-9,2020,01
7-8,Azumaryu,M15,Ikioi,8-7,2020,01
9-6,Tochiozan,M16,Kaisei,8-7,2020,01
11-4 K,Kiribayama,M17,Tokushoryu,14-1 YSK,2020,01
0-0-15,Tomokaze,J1,Chiyoshoma,7-8,2020,01
8-7 ↑,Kotonowaka,J2,Hidenoumi,8-7,2020,01
7-8,Daishomaru,J3,Kizakiumi,3-12,2020,01
11-4 ↑,Nishikigi,J4,Mitoryu,6-9,2020,01
9-6,Wakatakakage,J5,Daishoho,9-6,2020,01
11-4 ↑,Daiamami,J6,Tobizaru,9-6,2020,01
6-9,Ichinojo,J7,Yago,4-11,2020,01
7-8,Kyokutaisei,J8,Kotoshoho,9-6,2020,01
10-5,Kyokushuho,J9,Akua,9-6,2020,01
4-11 ↓,Sokokurai,J10,Takagenji,7-8,2020,01
4-11 ↓,Toyonoshima,J11,Irodori,1-6-8 ↓,2020,01
7-8,Asagyokusei,J12,Churanoumi,8-7,2020,01
6-9,Chiyootori,J13,Terunofuji,13-2 Y,2020,01
8-7,Hoshoryu,J14,Sakigake,6-9 ↓,2020,01
2-5,Kaisho,Ms1,Wakamotoharu,6-1 ↑,2020,01
5-2 ↑,Midorifuji,Ms2,Shiba,3-4,2020,01
3-4,Oki,Ms3,Chiyonoumi,5-2 ↑,2020,01
4-3 ↑,Akiseyama,Ms4,Hakuyozan,6-1 ↑,2020,01
3-4,Naya,Ms5,Ichiyamamoto,0-0-7,2020,01
3-4,Chiyonokuni,Ms6,Asabenkei,4-3,2020,01
2-5,Tsukahara,Ms7,Fujiazuma,4-3,2020,01
1-6,Kotokuzan,Ms8,Gokushindo,4-3,2020,01
0-3-4,Gagamaru,Ms9,Kotodaigo,5-2,2020,01
4-3,Toyohibiki,Ms10,Gochozan,1-2-4,2020,01
3-4,Seiro,Ms11,Kainoryu,2-5,2020,01
5-2,Chiyonoo,Ms12,Kitaharima,3-4,2020,01
3-4,Shonannoumi,Ms13,Shiraishi,2-5,2020,01
4-3,Motobayashi,Ms14,Sagatsukasa,2-5,2020,01
2-5,Terasawa,Ms15,Kyokusoten,3-4,2020,01
4-3,Kizenryu,Ms16,Hokaho,4-3,2020,01
5-2,Roga,Ms17,Wakatakamoto,4-3,2020,01
6-1,Daiseido,Ms18,Chiyoarashi,5-2,2020,01
3-4,Nionoumi,Ms19,Ryusei,4-3,2020,01
3-4,Kotodairyu,Ms20,Kairyu,4-3,2020,01
4-1-2,Hatooka,Ms21,Tsushimanada,3-4,2020,01
2-5,Keitenkai,Ms22,Asakoki,4-3,2020,01
3-4,Shohoryu,Ms23,Bushozan,4-3,2020,01
4-3,Tsurubayashi,Ms24,Kagamio,3-4,2020,01
0-7 ↓,Asatenmai,Ms25,Chiyosakae,5-2,2020,01
2-5,Tochiseiryu,Ms26,Masutoo,0-1-6 ↓,2020,01
3-4,Hokutokawa,Ms27,Tokushinho,2-5,2020,01
3-4,Higoarashi,Ms28,Tomisakae,4-3,2020,01
1-6,Terao,Ms29,Ichiki,5-2,2020,01
5-2,Koba,Ms30,Hiradoumi,2-5,2020,01
5-2,Ayanoumi,Ms31,Amanoshima,3-4,2020,01
6-1,Jokoryu,Ms32,Hokutoyo,4-3,2020,01
4-3,Omoto,Ms33,Daishoryu,3-4,2020,01
5-2,Tanabe,Ms34,Yamatoarashi,1-6 ↓,2020,01
3-4,Genki,Ms35,Ryuko,6-1,2020,01
2-5,Sadanohikari,Ms36,Wakayama,4-3,2020,01
4-3,Yokoe,Ms37,Higonojo,3-4,2020,01
5-2,Takakento,Ms38,Kotohayato,3-4,2020,01
4-3,Horyuyama,Ms39,Tokisakae,5-2,2020,01
3-4,Hokutoshu,Ms40,Kijuin,1-6 ↓,2020,01
3-4,Inoue,Ms41,Kototsubasa,5-2,2020,01
3-4,Hamayutaka,Ms42,Nakazono,4-3,2020,01
4-3,Tochikamiyama,Ms43,Oazuma,2-5 ↓,2020,01
2-5 ↓,Mugendai,Ms44,Chiyoraizan,3-4,2020,01
4-3,Chiyonokatsu,Ms45,Yuki,4-3,2020,01
2-5 ↓,Tochikodai,Ms46,Obayama,4-3,2020,01
