,rank,name,pob,birthdate,height,weight,year,month,win,loss,absent,next_rank,is_east,next_is_east,tier_rank,next_tier_rank,num_rank,next_num_rank,make_koshi,num_rank_diff,order,abs_rank,next_order,next_abs_rank,abs_rank_dif
0,Y1e,Hakuho,Mongolia,11.03.1985,193.0,150.7,2020,1,1,3,11,Y1e,True,True,1,1.0,1.0,1.0,False,0.0,0,1.0,0.0,1.0,0.0
1,Y1w,Kakuryu,Mongolia,10.08.1985,186.0,150.0,2020,1,1,4,10,Y1wYO,False,False,1,1.0,1.0,1.0,False,0.0,1,2.0,1.0,2.0,0.0
2,O1e,Takakeisho,Hyogo,05.08.1996,173.0,149.0,2020,1,11,4,0,O1e,True,True,2,2.0,1.0,1.0,True,0.0,2,3.0,2.0,3.0,0.0
3,S1e,Asanoyama,Toyama,01.03.1994,189.0,158.0,2020,1,10,5,0,S1e,True,True,3,3.0,1.0,1.0,True,0.0,4,5.0,3.0,4.0,1.0
4,M4w,Shodai,Kumamoto,05.11.1991,182.0,150.0,2020,1,13,2,0,S1w,False,False,5,3.0,4.0,1.0,True,3.0,15,16.0,4.0,5.0,11.0
5,M2e,Hokutofuji,Saitama,15.07.1992,182.0,158.0,2020,1,11,4,0,K1e,True,True,5,4.0,2.0,1.0,True,1.0,10,11.0,5.0,6.0,5.0
6,M1e,Endo,Ishikawa,19.10.1990,183.0,145.6,2020,1,9,6,0,K1w,True,False,5,4.0,1.0,1.0,True,0.0,8,9.0,6.0,7.0,2.0
7,K1w,Daieisho,Saitama,10.11.1993,179.0,135.7,2020,1,7,8,0,M1e,False,True,4,5.0,1.0,1.0,False,0.0,7,8.0,7.0,8.0,0.0
8,S1w,Takayasu,Ibaraki,28.02.1990,187.0,163.0,2020,1,6,9,0,M1w,False,False,3,5.0,1.0,1.0,False,0.0,5,6.0,8.0,9.0,-3.0
9,M4e,Okinoumi,Shimane,29.07.1985,190.0,154.0,2020,1,8,7,0,M2e,True,True,5,5.0,4.0,2.0,True,2.0,14,15.0,9.0,10.0,5.0
10,M17w,Tokushoryu,Nara,22.08.1986,182.0,170.6,2020,1,14,1,0,M2w,False,False,5,5.0,17.0,2.0,True,15.0,41,42.0,10.0,11.0,31.0
11,M9w,Yutakayama,Niigata,22.09.1993,185.0,171.0,2020,1,11,4,0,M3e,False,True,5,5.0,9.0,3.0,True,6.0,25,26.0,11.0,12.0,14.0
12,M2w,Mitakeumi,Nagano,25.12.1992,179.0,149.0,2020,1,7,8,0,M3w,False,False,5,5.0,2.0,3.0,False,-1.0,11,12.0,12.0,13.0,-1.0
13,M5w,Enho,Ishikawa,18.10.1994,169.0,95.0,2020,1,8,7,0,M4e,False,True,5,5.0,5.0,4.0,True,1.0,17,18.0,13.0,14.0,4.0
14,K1e,Abi,Saitama,04.05.1994,185.0,121.0,2020,1,5,10,0,M4w,True,False,4,5.0,1.0,4.0,False,-3.0,6,7.0,14.0,15.0,-8.0
15,M8w,Ryuden,Yamanashi,10.11.1990,192.0,145.0,2020,1,10,5,0,M5e,False,True,5,5.0,8.0,5.0,True,3.0,23,24.0,15.0,16.0,8.0
16,M7w,Onosho,Aomori,04.07.1996,176.0,148.5,2020,1,9,6,0,M5w,False,False,5,5.0,7.0,5.0,True,2.0,21,22.0,16.0,17.0,5.0
17,M1w,Myogiryu,Hyogo,22.10.1986,187.0,148.0,2020,1,5,10,0,M6e,False,True,5,5.0,1.0,6.0,False,-5.0,9,10.0,17.0,18.0,-8.0
18,M11w,Kagayaki,Ishikawa,01.06.1994,193.0,144.3,2020,1,10,5,0,M6w,False,False,5,5.0,11.0,6.0,True,5.0,29,30.0,18.0,19.0,11.0
19,M6e,Takarafuji,Aomori,18.02.1987,186.0,161.1,2020,1,7,8,0,M7e,True,True,5,5.0,6.0,7.0,False,-1.0,18,19.0,19.0,20.0,-1.0
20,M3e,Tamawashi,Mongolia,16.11.1984,190.0,161.0,2020,1,5,10,0,M7w,True,False,5,5.0,3.0,7.0,False,-4.0,12,13.0,20.0,21.0,-8.0
21,M7e,Shohozan,Fukuoka,09.02.1984,177.0,134.5,2020,1,7,8,0,M8e,True,True,5,5.0,7.0,8.0,False,-1.0,20,21.0,21.0,22.0,-1.0
22,M17e,Kiribayama,Mongolia,24.04.1996,184.0,94.0,2020,1,11,4,0,M8w,True,False,5,5.0,17.0,8.0,True,9.0,40,41.0,22.0,23.0,18.0
23,M9e,Takanosho,Chiba,14.11.1994,181.5,128.5,2020,1,7,8,0,M9e,True,True,5,5.0,9.0,9.0,False,0.0,24,25.0,23.0,24.0,1.0
24,M6w,Tochinoshin,Georgia,13.10.1987,192.0,162.0,2020,1,5,10,0,M9w,False,False,5,5.0,6.0,9.0,False,-3.0,19,20.0,24.0,25.0,-5.0
25,M10e,Sadanoumi,Kumamoto,11.05.1987,184.0,131.2,2020,1,7,8,0,M10e,True,True,5,5.0,10.0,10.0,False,0.0,26,27.0,25.0,26.0,1.0
26,M16e,Tochiozan,Kochi,09.03.1987,189.0,154.0,2020,1,9,6,0,M10w,True,False,5,5.0,16.0,10.0,True,6.0,38,39.0,26.0,27.0,12.0
27,M11e,Chiyotairyu,Tokyo,14.11.1988,182.0,166.8,2020,1,7,8,0,M11e,True,True,5,5.0,11.0,11.0,False,0.0,28,29.0,27.0,28.0,1.0
28,M14e,Terutsuyoshi,Hyogo,17.01.1995,169.0,112.0,2020,1,8,7,0,M11w,True,False,5,5.0,14.0,11.0,True,3.0,34,35.0,28.0,29.0,6.0
29,M10w,Ishiura,Tottori,10.01.1990,173.0,103.6,2020,1,6,9,0,M12e,False,True,5,5.0,10.0,12.0,False,-2.0,27,28.0,29.0,30.0,-2.0
30,M15w,Ikioi,Osaka,11.10.1986,194.0,157.0,2020,1,8,7,0,M12w,False,False,5,5.0,15.0,12.0,True,3.0,37,38.0,30.0,31.0,7.0
31,M13e,Kotoshogiku,Fukuoka,30.01.1984,180.0,177.0,2020,1,7,8,0,M13e,True,True,5,5.0,13.0,13.0,False,0.0,32,33.0,31.0,32.0,1.0
32,M8e,Aoiyama,Bulgaria,19.06.1986,192.0,192.6,2020,1,4,11,0,M13w,True,False,5,5.0,8.0,13.0,False,-5.0,22,23.0,32.0,33.0,-10.0
33,M16w,Kaisei,Brazil,18.12.1986,195.0,187.8,2020,1,8,7,0,M14e,False,True,5,5.0,16.0,14.0,True,2.0,39,40.0,33.0,34.0,6.0
34,J4e,Nishikigi,Iwate,25.08.1990,184.5,149.5,2020,1,11,4,0,M14w,True,False,6,5.0,4.0,14.0,True,-10.0,48,49.0,34.0,35.0,14.0
