rank,name,pob,birthdate,height,weight,year,month,win,loss,absent,next_rank
K1e,Abi,Saitama,04.05.1994,185.0,121.0,2020,1,5,10,0,M4w
M4w,Abi,Saitama,04.05.1994,185.0,121.0,2020,3,7,8,0,M5e
M5e,Abi,Saitama,04.05.1994,185.0,121.0,2020,7,3,4,8,M14w
M14w,Abi,Saitama,04.05.1994,185.0,121.0,2020,9,0,0,15,J11w
J11w,Abi,Saitama,04.05.1994,185.0,121.0,2020,11,0,0,15,
J14w,Akiseyama,Aichi,18.07.1985,183.0,172.6,2020,3,9,6,0,J9e
J9e,Akiseyama,Aichi,18.07.1985,183.0,172.6,2020,7,7,8,0,J10e
J10e,Akiseyama,Aichi,18.07.1985,183.0,172.6,2020,9,11,4,0,J1e
J1e,Akiseyama,Aichi,18.07.1985,183.0,172.6,2020,11,9,6,0,
J9w,Akua,Ibaraki,06.11.1990,181.0,162.6,2020,1,9,6,0,J6w
J6w,Akua,Ibaraki,06.11.1990,181.0,162.6,2020,3,4,11,0,J13w
J13w,Akua,Ibaraki,06.11.1990,181.0,162.6,2020,7,10,5,0,J6w
J6w,Akua,Ibaraki,06.11.1990,181.0,162.6,2020,9,10,5,0,M16w
M16w,Akua,Ibaraki,06.11.1990,181.0,162.6,2020,11,9,6,0,
M8e,Aoiyama,Bulgaria,19.06.1986,192.0,192.6,2020,1,4,11,0,M13w
M13w,Aoiyama,Bulgaria,19.06.1986,192.0,192.6,2020,3,11,4,0,M4w
M4w,Aoiyama,Bulgaria,19.06.1986,192.0,192.6,2020,7,5,10,0,M7w
M7w,Aoiyama,Bulgaria,19.06.1986,192.0,192.6,2020,9,7,8,0,M8e
M8e,Aoiyama,Bulgaria,19.06.1986,192.0,192.6,2020,11,6,9,0,
J10w,Asabenkei,Kanagawa,12.02.1989,190.0,174.8,2020,7,3,12,0,
J12e,Asagyokusei,Mie,29.05.1993,180.0,135.0,2020,1,7,8,0,J12w
J12w,Asagyokusei,Mie,29.05.1993,180.0,135.0,2020,3,5,10,0,
S1e,Asanoyama,Toyama,01.03.1994,189.0,158.0,2020,1,10,5,0,S1e
S1e,Asanoyama,Toyama,01.03.1994,189.0,158.0,2020,3,11,4,0,O1w
O1w,Asanoyama,Toyama,01.03.1994,189.0,158.0,2020,7,12,3,0,O1e
O1e,Asanoyama,Toyama,01.03.1994,189.0,158.0,2020,9,10,5,0,O1w
O1w,Asanoyama,Toyama,01.03.1994,189.0,158.0,2020,11,1,2,12,
M15e,Azumaryu,Mongolia,12.05.1987,192.0,147.2,2020,1,7,8,0,M16e
M16e,Azumaryu,Mongolia,12.05.1987,192.0,147.2,2020,3,5,10,0,J3e
J3e,Azumaryu,Mongolia,12.05.1987,192.0,147.2,2020,7,5,10,0,J7w
J7w,Azumaryu,Mongolia,12.05.1987,192.0,147.2,2020,9,0,0,15,J7w
J7w,Azumaryu,Mongolia,12.05.1987,192.0,147.2,2020,11,8,7,0,
M12w,Chiyomaru,Kagoshima,17.04.1991,178.0,176.3,2020,1,6,9,0,M15w
M15w,Chiyomaru,Kagoshima,17.04.1991,178.0,176.3,2020,3,7,6,2,M15w
M15w,Chiyomaru,Kagoshima,17.04.1991,178.0,176.3,2020,7,4,11,0,J3w
J3w,Chiyomaru,Kagoshima,17.04.1991,178.0,176.3,2020,9,7,8,0,J4e
J4e,Chiyomaru,Kagoshima,17.04.1991,178.0,176.3,2020,11,8,7,0,
J11w,Chiyonokuni,Mie,10.07.1990,184.0,143.8,2020,9,14,1,0,M14e
M14e,Chiyonokuni,Mie,10.07.1990,184.0,143.8,2020,11,10,5,0,
J12w,Chiyonoo,Kagoshima,29.05.1991,178.0,149.6,2020,7,10,5,0,J6e
J6e,Chiyonoo,Kagoshima,29.05.1991,178.0,149.6,2020,9,9,6,0,J1w
J1w,Chiyonoo,Kagoshima,29.05.1991,178.0,149.6,2020,11,7,8,0,
J13e,Chiyonoumi,Kochi,11.01.1993,182.0,128.0,2020,3,7,8,0,J14e
J14e,Chiyonoumi,Kochi,11.01.1993,182.0,128.0,2020,7,6,9,0,J14w
J14w,Chiyonoumi,Kochi,11.01.1993,182.0,128.0,2020,11,9,6,0,
J13e,Chiyootori,Kagoshima,11.10.1992,179.0,178.5,2020,1,6,9,0,J14e
J14e,Chiyootori,Kagoshima,11.10.1992,179.0,178.5,2020,3,9,6,0,J8w
J8w,Chiyootori,Kagoshima,11.10.1992,179.0,178.5,2020,7,7,8,0,J9w
J9w,Chiyootori,Kagoshima,11.10.1992,179.0,178.5,2020,9,9,6,0,J7e
J7e,Chiyootori,Kagoshima,11.10.1992,179.0,178.5,2020,11,8,7,0,
J1w,Chiyoshoma,Mongolia,20.07.1991,183.0,118.2,2020,1,7,8,0,J2e
J2e,Chiyoshoma,Mongolia,20.07.1991,183.0,118.2,2020,3,8,7,0,J1w
J1w,Chiyoshoma,Mongolia,20.07.1991,183.0,118.2,2020,7,6,9,0,J4e
